cod_mun;nome_mun;uf_mun
1;Guajará-Mirim;RO
3;Porto Velho;RO
4;Campestre;AL
5;Ji-Paraná;RO
6;Chupinguaia;RO
7;Ariquemes;RO
8;Vitória do Jari;AP
9;Cacoal;RO
11;Pimenta Bueno;RO
12;Parecis;RO
13;Vilhena;RO
14;Barrocas;BA
15;Jaru;RO
17;Ouro Preto do Oeste;RO
18;Luís Eduardo Magalhães;BA
19;Presidente Médici;RO
20;Brejetuba;ES
21;Costa Marques;RO
22;Governador Lindenberg;ES
23;Colorado do Oeste;RO
24;Vale do Anari;RO
25;Espigão D'Oeste;RO
26;Amajari;RR
27;Cerejeiras;RO
28;Cantá;RR
29;Rolim de Moura;RO
30;Ponto Belo;ES
31;Belo Horizonte;MG
32;Iracema;RR
33;Arvoredo;SC
34;Pacaraima;RR
35;Alvorada D'Oeste;RO
36;Rorainópolis;RR
37;Cabixi;RO
38;Uiramutã;RR
39;Machadinho D'Oeste;RO
40;Abadia de Goiás;GO
41;Nova Brasilândia D'Oeste;RO
42;Amaralina;GO
43;Santa Luzia D'Oeste;RO
44;Bonópolis;GO
45;São Miguel do Guaporé;RO
46;Cachoeira do Piriá;PA
47;Nova Mamoré;RO
48;Canaã dos Carajás;PA
49;Jesúpolis;GO
50;Caldazinha;GO
51;Professor Jamil;GO
52;Gameleira de Goiás;GO
53;Santo Antônio de Goiás;GO
54;Marituba;PA
55;Cocalzinho de Goiás;GO
56;Campo Limpo de Goiás;GO
57;Terezópolis de Goiás;GO
58;Santa Rita do Novo Destino;GO
59;Uirapuru;GO
60;São Patrício;GO
61;Buritinópolis;GO
62;Lagoa Santa;GO
63;Buriti de Goiás;GO
64;Vila Propício;GO
65;Guaraíta;GO
66;Nova Iorque;MA
67;Vila Boa;GO
68;São José de Ribamar;MA
69;Inaciolândia;GO
70;Alto Caparaó;MG
71;Aparecida do Rio Doce;GO
72;Angelândia;MG
73;Chapadão do Céu;GO
74;Aricanduva;MG
75;Perolândia;GO
76;Berizal;MG
77;Cidade Ocidental;GO
78;Bonito de Minas;MG
79;Montividiu do Norte;GO
80;Brasilândia de Minas;MG
81;Castelândia;GO
82;Bugre;MG
83;Santo Antônio da Barra;GO
84;Cabeceira Grande;MG
85;Alto Horizonte;GO
86;Campo Azul;MG
87;Nova Iguaçu de Goiás;GO
88;Cantagalo;MG
89;Cotriguaçu;MT
90;Catas Altas;MG
91;Planalto da Serra;MT
92;Catuti;MG
93;São Pedro da Cipa;MT
94;Cônego Marinho;MG
95;Pontal do Araguaia;MT
96;Confins;MG
97;Querência;MT
98;Córrego Fundo;MG
99;Ribeirãozinho;MT
100;Talismã;TO
101;Porto Estrela;MT
102;Crisólita;MG
103;Nova Marilândia;MT
104;Água Doce do Maranhão;MA
105;Brasiléia;AC
106;Alto Alegre do Maranhão;MA
107;Cruzeiro do Sul;AC
108;Alto Alegre do Pindaré;MA
109;Mâncio Lima;AC
110;Amapá do Maranhão;MA
111;Nova Maringá;MT
112;Apicum-Açu;MA
113;Feijó;AC
114;Araguanã;MA
115;Santo Afonso;MT
116;Bacabeira;MA
117;Nova Bandeirantes;MT
118;Bacurituba;MA
119;Nova Monte Verde;MT
120;Belágua;MA
121;Nova Guarita;MT
122;Bela Vista do Maranhão;MA
123;Santa Carmem;MT
124;Bernardo do Mearim;MA
125;Tabaporã;MT
126;Boa Vista do Gurupi;MA
127;Alto Boa Vista;MT
128;Bom Jesus das Selvas;MA
129;Canabrava do Norte;MT
130;Bom Lugar;MA
131;Confresa;MT
132;Brejo de Areia;MA
133;São José do Xingu;MT
134;Buriticupu;MA
135;Glória D'Oeste;MT
136;Buritirama;MA
137;Lambari D'Oeste;MT
138;Cachoeira Grande;MA
139;Rio Branco;AC
140;Campestre do Maranhão;MA
141;Alcinópolis;MS
142;Capinzal do Norte;MA
143;Nova Alvorada do Sul;MS
144;Central do Maranhão;MA
145;Sena Madureira;AC
146;Centro do Guilherme;MA
147;Tarauacá;AC
148;Centro Novo do Maranhão;MA
149;Xapuri;AC
150;Cidelândia;MA
151;Plácido de Castro;AC
152;Conceição do Lago-Açu;MA
153;Senador Guiomard;AC
154;Davinópolis;MA
155;Manoel Urbano;AC
156;Feira Nova do Maranhão;MA
157;Assis Brasil;AC
158;Fernando Falcão;MA
159;Novo Horizonte do Sul;MS
160;Formosa da Serra Negra;MA
161;Japorã;MS
162;Governador Edson Lobão;MA
163;Laguna Carapã;MS
164;Governador Luiz Rocha;MA
165;Angico;TO
166;Governador Newton Bello;MA
167;Aragominas;TO
168;Governador Nunes Freire;MA
169;Araguanã;TO
170;Igarapé do Meio;MA
171;Cachoeirinha;TO
172;Itaipava do Grajaú;MA
173;Campos Lindos;TO
174;Itinga do Maranhão;MA
175;Carmolândia;TO
176;Jatobá;MA
177;Carrasco Bonito;TO
178;Jenipapo dos Vieiras;MA
179;Darcinópolis;TO
180;Junco do Maranhão;MA
181;Esperantina;TO
182;Lagoa do Mato;MA
183;Maurilândia do Tocantins;TO
184;Lago dos Rodrigues;MA
186;Lagoa Grande do Maranhão;MA
187;Muricilândia;TO
188;Lajeado Novo;MA
189;Palmeirante;TO
190;Maracaçumé;MA
191;Pau D'Arco;TO
192;Marajá do Sena;MA
193;Riachinho;TO
194;Maranhãozinho;MA
195;Santa Fé do Araguaia;TO
196;Matões do Norte;MA
197;São Bento do Tocantins;TO
198;Milagres do Maranhão;MA
199;São Miguel do Tocantins;TO
200;Nova Colinas;MA
201;Novo Airão;AM
202;Nova Olinda do Maranhão;MA
203;Anori;AM
204;Olinda Nova do Maranhão;MA
205;Atalaia do Norte;AM
206;Paulino Neves;MA
207;Autazes;AM
208;Pedro do Rosário;MA
209;Barcelos;AM
210;Peritoró;MA
211;Barreirinha;AM
212;Porto Rico do Maranhão;MA
213;Benjamin Constant;AM
214;Presidente Médici;MA
215;Boca do Acre;AM
216;Presidente Sarney;MA
217;Borba;AM
218;Raposa;MA
219;Canutama;AM
220;Ribamar Fiquene;MA
221;Carauari;AM
222;Santa Filomena do Maranhão;MA
223;Careiro;AM
224;Santana do Maranhão;MA
225;Coari;AM
226;Santo Amaro;MA
227;Codajás;AM
228;São Domingos do Azeitão;MA
229;Eirunepé;AM
230;São Francisco do Brejão;MA
231;Envira;AM
